Provider code,Provider name,Distance to University of Auckland,Distance to AUT,Distance to University of Waikato,Distance to Massey University,Distance to Victoria University of Wellington,Distance to University of Canterbury,Distance to Lincoln University,Distance to University of Otago,2017_TA,2017_Region,2017_urban_rural,2017_authority,2017_school_type,2017_school_gender,2017_decile,Decile,Decile_bands,Min distance to  Uni,Nearest Uni,Distance to nearest uni,Longitude,Latitude,Size
36,Takapuna Grammar School,13.4,13.7,143,533,715,"1,151","1,166","1,500",Auckland - Devonport-Takapuna,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,10,10,1-Higher,13.4,Auckland,Nearby,174.788477,-36.800616,1022
126,Morrinsville College,139,140,29.4,400,582,"1,017","1,032","1,366",Matamata-Piako District,Waikato Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,6,6,2-Middle,29.4,Hamilton,Bus Range,175.534068,-37.650833,389
166,Tauhara College,280,280,150,248,430,866,880,"1,215",Taupo District,Waikato Region,Secondary Urban Area,State,Secondary (Year 9-15),Co-Educational,6,6,2-Middle,150,Hamilton,Remote,176.104928,-38.697481,339
108,Onewhero Area School,69.6,70,96.1,487,669,"1,104","1,119","1,453",Waikato District,Waikato Region,Rural Area,State,Composite,Co-Educational,6,6,2-Middle,69.6,Auckland,Bus Range,174.916276,-37.332158,104
190,Cullinane College,444,445,324,81,266,701,716,"1,050",Whanganui District,Manawatu-Wanganui Region,Main Urban Area,State : Integrated,Secondary (Year 9-15),Co-Educational,4,4,3-Lower,81,Palmy,Bus Range,175.047244,-39.913342,190
223,Havelock North High School,437,438,308,169,309,745,760,"1,094",Hastings District,Hawke's Bay Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,8,8,1-Higher,169,Palmy,Remote,176.894776,-39.666613,637
296,Waimea College,892,893,763,381,251,407,422,756,Tasman District,Tasman Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,8,8,1-Higher,251,Wellington,Remote,173.196868,-41.337691,851
175,Francis Douglas Memorial College,364,365,244,239,424,860,874,"1,209",New Plymouth District,Taranaki Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Boys School),8,8,1-Higher,239,Palmy,Remote,174.053406,-39.081129,345
6975,Garin College,890,891,761,379,249,408,422,757,Nelson City,Nelson Region,Main Urban Area,State : Integrated,Secondary (Year 9-15),Co-Educational,8,8,1-Higher,249,Wellington,Remote,173.204819,0,322
333,St Margaret's College,"1,081","1,081",951,569,439,4.4,23.5,357,Christchurch City,Canterbury Region,Main Urban Area,Private : Fully Registered,Composite,Single Sex (Girls School),10,10,1-Higher,4.4,Canterbury,Nearby,172.622159,-43.519096,372
265,St Oran's College,646,646,517,135,17.5,453,468,802,Lower Hutt City,Wellington Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Girls School),10,10,1-Higher,17.5,Wellington,Nearby,174.916425,-41.204307,214
11,Opononi Area School,261,261,390,781,962,"1,398","1,413","1,747",Far North District,Northland Region,Rural Area,State,Composite,Co-Educational,1,1,3-Lower,261,Auckland,Remote,173.390212,-35.528555,33
127,Ngaruawahia High School,106,107,23.5,418,600,"1,035","1,050","1,385",Waikato District,Waikato Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,1,1,3-Lower,23.5,Hamilton,Nearby,175.158665,-37.660039,106
290,Collingwood Area School,"1,009","1,009",880,498,367,502,517,851,Tasman District,Tasman Region,Rural Area,State,Composite,Co-Educational,7,7,2-Middle,367,Wellington,Remote,172.678712,-40.682197,26
307,Kaikoura High School,902,902,772,391,260,184,199,533,Kaikoura District,Canterbury Region,Rural Area,State,Secondary (Year 7-15),Co-Educational,4,4,3-Lower,184,Canterbury,Remote,173.674454,-42.400438,70
354,Opihi College,"1,222","1,222","1,092",710,580,141,130,215,Timaru District,Canterbury Region,Minor Urban Area,State,Secondary (Year 7-15),Co-Educational,5,5,2-Middle,130,Canterbury,Remote,171.293655,-44.239709,98
359,Mountainview High School,"1,238","1,238","1,108",727,596,157,146,199,Timaru District,Canterbury Region,Secondary Urban Area,State,Secondary (Year 9-15),Co-Educational,6,6,2-Middle,146,Canterbury,Remote,171.219535,-44.376706,283
382,Bayfield High School,"1,439","1,439","1,309",928,797,358,347,5.5,Dunedin City,Otago Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,7,7,2-Middle,5.5,Otago,Nearby,170.52319,-45.895969,329
419,Rudolf Steiner School (Christchurch),"1,086","1,086",956,575,444,12.3,23.9,361,Christchurch City,Canterbury Region,Main Urban Area,State : Integrated,Composite,Co-Educational,8,8,1-Higher,12.3,Canterbury,Nearby,172.659135,-43.560087,55
451,Hamilton Christian School,120,120,11.8,406,588,"1,024","1,039","1,373",Hamilton City,Waikato Region,Main Urban Area,Private : Fully Registered,Composite,Co-Educational,9,9,1-Higher,11.8,Hamilton,Nearby,175.26086,-37.721434,105
518,Kingslea School,"1,079","1,079",949,568,437,9.1,27.6,365,Christchurch City,Canterbury Region,Main Urban Area,Other : Vote Education,Special School,Co-Educational,1,1,3-Lower,9.1,Canterbury,Nearby,172.668091,-43.504342,103
527,Twizel Area School,"1,360","1,361","1,231",849,719,279,269,253,Mackenzie District,Canterbury Region,Minor Urban Area,State,Composite,Co-Educational,8,8,1-Higher,253,Otago,Remote,170.098059,-44.255247,35
558,Te Kura Kaupapa Maori o Te Kura Kokiri,224,224,114,390,572,"1,008","1,022","1,357",Tauranga City,Bay of Plenty Region,Main Urban Area,State,Composite,Co-Educational,2,2,3-Lower,114,Hamilton,Remote,176.283678,-37.723434,40
750,Te Aratika Academy,431,432,302,173,313,749,764,"1,098",Hastings District,Hawke's Bay Region,Main Urban Area,Partnership School,Secondary (Year 9-15),Single Sex (Boys School),99,99,1-Higher,173,Palmy,Remote,176.892968,-39.616959,36
1172,Cornerstone Christian School,517,517,387,9.2,194,630,644,979,Palmerston North City,Manawatu-Wanganui Region,Main Urban Area,State : Integrated,Composite,Co-Educational,7,7,2-Middle,9.2,Palmy,Nearby,175.651461,-40.330504,61
1630,Central Regional Health School,647,647,517,135,4.1,442,457,791,Wellington City,Wellington Region,Main Urban Area,State,Special School,Co-Educational,1,1,3-Lower,4.1,Wellington,Nearby,174.782513,-41.271924,79
6977,Hobsonville Point Secondary School,26.3,26.7,156,546,728,"1,164","1,179","1,513",Auckland - Upper Harbour,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,10,10,1-Higher,26.3,Auckland,Bus Range,174.655209,0,231
145,Edgecumbe College,290,291,181,402,584,"1,020","1,035","1,369",Whakatane District,Bay of Plenty Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,3,3,3-Lower,181,Hamilton,Remote,176.827536,-37.967933,127
9,Northland College,234,235,364,754,936,"1,372","1,387","1,721",Far North District,Northland Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,1,1,3-Lower,234,Auckland,Remote,173.809917,-35.413888,141
199,Hato Paora College,492,492,362,35,217,653,667,"1,002",Manawatu District,Manawatu-Wanganui Region,Rural Area,State : Integrated,Secondary (Year 9-15),Single Sex (Boys School),4,4,3-Lower,35,Palmy,Bus Range,175.659639,-40.15174,82
305,Westland High School,"1,133","1,134","1,004",622,492,242,245,547,Westland District,West Coast Region,Minor Urban Area,State,Secondary (Year 7-15),Co-Educational,6,6,2-Middle,242,Canterbury,Remote,170.972914,-42.717507,134
4,Whangaroa College,269,269,398,789,971,"1,406","1,421","1,756",Far North District,Northland Region,Rural Area,State,Secondary (Year 7-15),Co-Educational,1,1,3-Lower,269,Auckland,Remote,173.786949,-35.100861,52
177,Inglewood High School,367,367,246,221,405,841,856,"1,190",New Plymouth District,Taranaki Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,7,7,2-Middle,221,Palmy,Remote,174.18992,-39.156656,232
401,Menzies College,"1,605","1,606","1,476","1,094",964,524,513,172,Southland District,Southland Region,Rural Area,State,Secondary (Year 7-15),Co-Educational,5,5,2-Middle,172,Otago,Remote,168.845934,-46.324827,128
392,Tokomairiro High School,"1,490","1,490","1,360",978,848,409,398,56.4,Clutha District,Otago Region,Minor Urban Area,State,Secondary (Year 7-15),Co-Educational,4,4,3-Lower,56.4,Otago,Bus Range,169.966921,-46.113193,160
113,Paeroa College,123,123,68.3,421,603,"1,039","1,054","1,388",Hauraki District,Waikato Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,2,2,3-Lower,68.3,Hamilton,Bus Range,175.669281,-37.385436,135
162,Piopio College,223,223,102,322,504,939,954,"1,288",Waitomo District,Waikato Region,Rural Area,State,Secondary (Year 7-15),Co-Educational,5,5,2-Middle,102,Hamilton,Bus Range,175.014155,-38.472652,72
287,Queen Charlotte College,747,748,618,236,105,342,357,691,Marlborough District,Marlborough Region,Minor Urban Area,State,Secondary (Year 7-15),Co-Educational,6,6,2-Middle,105,Wellington,Bus Range,174.02315,-41.279741,137
303,Greymouth High School,"1,096","1,097",967,585,454,236,239,541,Grey District,West Coast Region,Secondary Urban Area,State,Secondary (Year 9-15),Co-Educational,4,4,3-Lower,236,Canterbury,Remote,171.197215,-42.462775,270
20,Bream Bay College,135,136,265,655,837,"1,273","1,288","1,622",Whangarei District,Northland Region,Rural Area,State,Secondary (Year 7-15),Co-Educational,5,5,2-Middle,135,Auckland,Remote,174.455784,-35.876078,166
187,Whanganui City College,445,445,324,78.8,263,699,714,"1,048",Whanganui District,Manawatu-Wanganui Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,2,2,3-Lower,78.8,Palmy,Bus Range,175.046397,-39.931369,202
214,Wairoa College,505,505,375,300,440,876,891,"1,225",Wairoa District,Hawke's Bay Region,Minor Urban Area,State,Secondary (Year 7-15),Co-Educational,1,1,3-Lower,300,Palmy,Remote,177.414174,-39.035347,200
23,Rodney College,84.6,84.9,214,605,786,"1,222","1,237","1,571",Auckland - Rodney,Auckland Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,4,4,3-Lower,84.6,Auckland,Bus Range,174.520831,-36.28816,209
124,Matamata College,161,161,57.5,364,546,982,997,"1,331",Matamata-Piako District,Waikato Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,6,6,2-Middle,57.5,Hamilton,Bus Range,175.770384,-37.816276,374
482,Aquinas College,206,207,96.5,380,562,997,"1,012","1,346",Tauranga City,Bay of Plenty Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Co-Educational,8,8,1-Higher,96.5,Hamilton,Bus Range,176.121981,-37.750885,335
181,Opunake High School,421,422,301,211,395,831,846,"1,180",South Taranaki District,Taranaki Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,4,4,3-Lower,211,Palmy,Remote,173.851541,-39.450639,197
301,Buller High School,"1,031","1,031",901,520,389,336,351,644,Buller District,West Coast Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,5,5,2-Middle,336,Canterbury,Remote,171.605043,-41.747592,174
373,Cromwell College,"1,499","1,499","1,370",988,857,418,407,241,Central Otago District,Otago Region,Minor Urban Area,State,Secondary (Year 7-15),Co-Educational,8,8,1-Higher,241,Otago,Remote,169.1945,-45.043489,171
320,Mairehau High School,"1,078","1,078",948,567,436,7.1,26.6,365,Christchurch City,Canterbury Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,4,4,3-Lower,7.1,Canterbury,Nearby,172.648484,-43.494021,191
387,John McGlashan College,"1,435","1,436","1,306",924,794,354,344,2.6,Dunedin City,Otago Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Boys School),10,10,1-Higher,2.6,Otago,Nearby,170.497832,-45.85568,260
211,Campion College,478,478,368,394,535,970,985,"1,319",Gisborne District,Gisborne Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Co-Educational,6,6,2-Middle,368,Hamilton,Remote,177.989404,-38.647793,194
154,Rotorua Lakes High School,234,235,109,331,513,949,964,"1,298",Rotorua District,Bay of Plenty Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,5,5,2-Middle,109,Hamilton,Bus Range,176.30233,-38.136755,436
112,Hauraki Plains College,98.9,99.3,87.8,441,623,"1,058","1,073","1,407",Hauraki District,Waikato Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,5,5,2-Middle,87.8,Hamilton,Bus Range,175.498679,-37.276618,399
116,Te Aroha College,137,137,48.9,401,582,"1,018","1,033","1,367",Matamata-Piako District,Waikato Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,4,4,3-Lower,48.9,Hamilton,Bus Range,175.693304,-37.541904,199
1917,Te Wharekura o Rakaumangamanga,92.8,93.2,40.3,431,613,"1,049","1,063","1,398",Waikato District,Waikato Region,Minor Urban Area,State,Composite,Co-Educational,1,1,3-Lower,40.3,Hamilton,Bus Range,175.145791,-37.555911,106
350,Akaroa Area School,"1,166","1,166","1,036",655,524,82.4,71.7,414,Christchurch City,Canterbury Region,Rural Area,State,Composite,Co-Educational,8,8,1-Higher,71.7,Canterbury,Bus Range,172.962434,-43.811179,31
632,Tai Wananga,129,130,2.6,398,580,"1,015","1,030","1,365",Hamilton City,Waikato Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,4,4,3-Lower,2.6,Hamilton,Nearby,175.305793,-37.775345,112
396,Gore High School,"1,588","1,589","1,459","1,077",947,507,497,155,Gore District,Southland Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,6,6,2-Middle,155,Otago,Remote,168.930258,-46.103549,255
361,Timaru Girls' High School,"1,240","1,241","1,111",729,599,159,149,194,Timaru District,Canterbury Region,Secondary Urban Area,State,Secondary (Year 9-15),Single Sex (Girls School),6,6,2-Middle,149,Canterbury,Remote,171.244211,-44.405382,275
29,Kristin School,21,21.3,150,541,723,"1,159","1,173","1,508",Auckland - Upper Harbour,Auckland Region,Main Urban Area,Private : Fully Registered,Composite,Co-Educational,10,10,1-Higher,21,Auckland,Nearby,174.692243,-36.742989,526
280,Samuel Marsden Collegiate School,651,651,521,140,3,446,461,795,Wellington City,Wellington Region,Main Urban Area,Private : Fully Registered,Composite,Single Sex (Girls School),10,10,1-Higher,3,Wellington,Nearby,174.744353,-41.283945,213
352,Geraldine High School,"1,214","1,214","1,084",702,572,133,122,232,Timaru District,Canterbury Region,Minor Urban Area,State,Secondary (Year 7-15),Co-Educational,8,8,1-Higher,122,Canterbury,Remote,171.248558,-44.091799,217
391,Blue Mountain College,"1,581","1,582","1,452","1,070",940,500,490,148,Clutha District,Otago Region,Rural Area,State,Secondary (Year 7-15),Co-Educational,9,9,1-Higher,148,Otago,Remote,169.258764,-45.939857,88
348,Mount Hutt College,"1,171","1,172","1,042",660,530,90.2,79.4,299,Ashburton District,Canterbury Region,Minor Urban Area,State,Secondary (Year 7-15),Co-Educational,9,9,1-Higher,79.4,Canterbury,Bus Range,171.649415,-43.636476,174
371,East Otago High School,"1,382","1,382","1,252",871,740,301,290,53,Waitaki District,Otago Region,Rural Area,State,Secondary (Year 7-15),Co-Educational,6,6,2-Middle,53,Otago,Bus Range,170.721208,-45.47891,59
630,Te Kura Maori o Nga Tapuwae,20.1,20.4,121,511,693,"1,129","1,144","1,478",Auckland - Mangere-Otahuhu,Auckland Region,Main Urban Area,State,Composite,Co-Educational,2,2,3-Lower,20.1,Auckland,Nearby,174.81709,-36.965266,66
17,Pompallier Catholic College,163,164,293,683,865,"1,301","1,316","1,650",Whangarei District,Northland Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Co-Educational,7,7,2-Middle,163,Auckland,Remote,174.275713,-35.744863,198
4158,Hutt International Boys' School,645,645,515,134,30.4,466,481,815,Upper Hutt City,Wellington Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Boys School),10,10,1-Higher,30.4,Wellington,Bus Range,175.037121,-41.140881,270
739,Manukura,523,523,394,2.9,188,623,638,972,Palmerston North City,Manawatu-Wanganui Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,5,5,2-Middle,2.9,Palmy,Nearby,175.629464,-40.372515,163
380,St Hilda's Collegiate School,"1,435","1,435","1,305",924,793,354,343,1.7,Dunedin City,Otago Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Girls School),10,10,1-Higher,1.7,Otago,Nearby,170.503673,-45.867322,253
278,Queen Margaret College,648,649,519,137,3.5,442,457,792,Wellington City,Wellington Region,Main Urban Area,Private : Fully Registered,Composite,Single Sex (Girls School),10,10,1-Higher,3.5,Wellington,Nearby,174.780665,-41.272425,248
330,Christ's College,"1,082","1,083",953,571,441,5.7,22.6,360,Christchurch City,Canterbury Region,Main Urban Area,Private : Fully Registered,Secondary (Year 9-15),Single Sex (Boys School),10,10,1-Higher,5.7,Canterbury,Nearby,172.627122,-43.529721,393
242,Solway College,611,612,482,92.1,97.8,533,548,883,Masterton District,Wellington Region,Secondary Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Girls School),7,7,2-Middle,92.1,Palmy,Bus Range,175.630828,-40.9564,61
375,Roxburgh Area School,"1,567","1,567","1,437","1,055",925,486,475,153,Central Otago District,Otago Region,Rural Area,State,Composite,Co-Educational,7,7,2-Middle,153,Otago,Remote,169.311203,-45.538153,45
325,Rangi Ruru Girls' School,"1,081","1,081",951,569,439,4,23.1,356,Christchurch City,Canterbury Region,Main Urban Area,Private : Fully Registered,Secondary (Year 7-15),Single Sex (Girls School),10,10,1-Higher,4,Canterbury,Nearby,172.617787,-43.518903,402
67,Diocesan School for Girls,5,5.3,130,521,703,"1,138","1,153","1,488",Auckland - Albert-Eden,Auckland Region,Main Urban Area,Private : Fully Registered,Composite,Single Sex (Girls School),10,10,1-Higher,5,Auckland,Nearby,174.778296,-36.880477,599
615,Rototuna Senior High School,120,121,12.9,407,589,"1,025","1,040","1,374",Hamilton City,Waikato Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,10,10,1-Higher,12.9,Hamilton,Nearby,175.261926,-37.715468,103
249,Kuranui College,632,633,503,113,75.2,511,526,860,South Wairarapa District,Wellington Region,Minor Urban Area,State,Secondary (Year 9-15),Co-Educational,6,6,2-Middle,75.2,Wellington,Bus Range,175.451039,-41.092586,263
91,Mangere College,22.1,22.5,123,514,696,"1,132","1,146","1,481",Auckland - Mangere-Otahuhu,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,1,1,3-Lower,22.1,Auckland,Nearby,174.791588,-36.959618,411
102,Rosehill College,32.5,32.9,101,492,674,"1,110","1,124","1,459",Auckland - Papakura,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,5,5,2-Middle,32.5,Auckland,Bus Range,174.936559,-37.076585,1026
452,Southern Cross Campus College,20,20.4,121,512,694,"1,130","1,144","1,479",Auckland - Mangere-Otahuhu,Auckland Region,Main Urban Area,State,Composite,Co-Educational,1,1,3-Lower,20,Auckland,Nearby,174.816726,-36.964291,537
259,Naenae College,645,645,515,134,20.2,456,471,805,Lower Hutt City,Wellington Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,3,3,3-Lower,20.2,Wellington,Nearby,174.940755,-41.196633,371
84,Kelston Girls' College,14.8,15.2,137,528,710,"1,145","1,160","1,494",Auckland - Whau,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Girls School),2,2,3-Lower,14.8,Auckland,Nearby,174.664361,-36.908063,330
83,Kelston Boys' High School,15,15.4,138,529,711,"1,146","1,161","1,495",Auckland - Whau,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Boys School),3,3,3-Lower,15,Auckland,Nearby,174.666886,-36.898785,415
101,Papakura High School,34.4,34.7,103,494,676,"1,111","1,126","1,461",Auckland - Papakura,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,1,1,3-Lower,34.4,Auckland,Bus Range,174.9508,-37.062945,325
277,Rongotai College,655,655,525,143,6.9,448,463,797,Wellington City,Wellington Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Boys School),6,6,2-Middle,6.9,Wellington,Nearby,174.80066,-41.321848,362
6929,Alfriston College,26.2,26.6,108,499,681,"1,116","1,131","1,465",Auckland - Manurewa,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,2,2,3-Lower,26.2,Auckland,Bus Range,174.919791,-37.017649,693
31,Birkenhead College,14.6,14.9,144,535,716,"1,152","1,167","1,501",Auckland - Kaipatiki,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,6,6,2-Middle,14.6,Auckland,Nearby,174.701151,-36.799174,421
88,Otahuhu College,17.3,17.7,121,512,694,"1,129","1,144","1,479",Auckland - Mangere-Otahuhu,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,1,1,3-Lower,17.3,Auckland,Nearby,174.840645,-36.953117,611
135,Fraser High School,122,122,8.9,403,584,"1,020","1,035","1,369",Hamilton City,Waikato Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,4,4,3-Lower,8.9,Hamilton,Nearby,175.244737,-37.784283,851
228,Hastings Girls' High School,430,431,301,168,309,744,759,"1,094",Hastings District,Hawke's Bay Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Girls School),3,3,3-Lower,168,Palmy,Remote,176.834762,-39.627208,439
75,Lynfield College,15,15.4,133,524,706,"1,141","1,156","1,490",Auckland - Puketapapa,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,6,6,2-Middle,15,Auckland,Nearby,174.715436,-36.921035,1040
255,Porirua College,631,631,501,119,23.9,459,474,809,Porirua City,Wellington Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,1,1,3-Lower,23.9,Wellington,Nearby,174.874459,-41.141261,289
96,Aorere College,22.3,22.6,119,509,691,"1,127","1,142","1,476",Auckland - Otara-Papatoetoe,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,2,2,3-Lower,22.3,Auckland,Nearby,174.83308,-36.981416,894
85,One Tree Hill College,9.2,9.5,126,516,698,"1,134","1,149","1,483",Auckland - Maungakiekie-Tamaki,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,3,3,3-Lower,9.2,Auckland,Nearby,174.806959,-36.902825,593
97,Sir Edmund Hillary Collegiate Senior School,18.2,18.6,118,508,690,"1,126","1,141","1,475",Auckland - Otara-Papatoetoe,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,1,1,3-Lower,18.2,Auckland,Nearby,174.87553,-36.951275,343
339,Hillmorton High School,"1,091","1,091",961,579,449,5.9,17.5,355,Christchurch City,Canterbury Region,Main Urban Area,State,Secondary (Year 7-15),Co-Educational,4,4,3-Lower,5.9,Canterbury,Nearby,172.592782,-43.55768,312
478,Wainuiomata High School,657,657,528,146,21.5,457,472,806,Lower Hutt City,Wellington Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,3,3,3-Lower,21.5,Wellington,Nearby,174.936203,-41.251669,393
268,Newlands College,641,642,512,130,11.6,447,462,796,Wellington City,Wellington Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,9,9,1-Higher,11.6,Wellington,Nearby,174.822759,-41.218096,615
252,St Patrick's College (Silverstream),642,643,513,131,27.8,464,478,813,Upper Hutt City,Wellington Region,Main Urban Area,State : Integrated,Secondary (Year 9-15),Single Sex (Boys School),8,8,1-Higher,27.8,Wellington,Bus Range,175.012683,-41.146109,428
100,James Cook High School,29.7,30,109,500,682,"1,118","1,132","1,467",Auckland - Manurewa,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,1,1,3-Lower,29.7,Auckland,Bus Range,174.885978,-37.03498,664
258,Taita College,646,646,516,135,23.8,459,474,809,Lower Hutt City,Wellington Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,2,2,3-Lower,23.8,Wellington,Nearby,174.966401,-41.176078,258
256,Bishop Viard College,630,630,500,118,21.5,457,472,806,Porirua City,Wellington Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Co-Educational,1,1,3-Lower,21.5,Wellington,Nearby,174.839225,-41.140416,158
253,Aotea College,627,628,498,116,23.5,459,474,808,Porirua City,Wellington Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,5,5,2-Middle,23.5,Wellington,Nearby,174.854396,-41.125155,556
53,Auckland Girls' Grammar School,1.8,1.8,133,524,706,"1,141","1,156","1,491",Auckland - Waitemata,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Girls School),3,3,3-Lower,1.8,Auckland,Nearby,174.75365,-36.857019,759
531,Catholic Cathedral College,"1,083","1,083",953,572,441,7.2,22.4,360,Christchurch City,Canterbury Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Co-Educational,4,4,3-Lower,7.2,Canterbury,Nearby,172.646599,-43.53766,251
237,Waiopehu College,557,557,427,43.6,229,665,680,"1,014",Horowhenua District,Manawatu-Wanganui Region,Secondary Urban Area,State,Secondary (Year 9-15),Co-Educational,2,2,3-Lower,43.6,Palmy,Bus Range,175.296334,-40.629314,376
99,Manurewa High School,24.1,24.4,111,502,684,"1,119","1,134","1,468",Auckland - Manurewa,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,1,1,3-Lower,24.1,Auckland,Nearby,174.882302,-37.011253,1187
104,Wesley College,43.6,44,98.6,489,671,"1,107","1,122","1,456",Auckland - Franklin,Auckland Region,Rural Area,State : Integrated,Secondary (Year 7-15),Co-Educational,1,1,3-Lower,43.6,Auckland,Bus Range,174.890163,-37.148293,182
491,Sancta Maria College,24.4,24.7,117,507,689,"1,125","1,140","1,474",Auckland - Howick,Auckland Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Co-Educational,7,7,2-Middle,24.4,Auckland,Nearby,174.904879,-36.957848,468
57,Tamaki College,13,13.4,129,520,702,"1,138","1,152","1,487",Auckland - Maungakiekie-Tamaki,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,1,1,3-Lower,13,Auckland,Nearby,174.867271,-36.877942,361
63,Marcellin College,8.2,8.6,128,519,701,"1,137","1,151","1,486",Auckland - Puketapapa,Auckland Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Co-Educational,2,2,3-Lower,8.2,Auckland,Nearby,174.766435,-36.91013,259
564,Ormiston Senior College,25.3,25.7,116,507,689,"1,124","1,139","1,473",Auckland - Howick,Auckland Region,Main Urban Area,State,Secondary (Year 11-15),Co-Educational,7,7,2-Middle,25.3,Auckland,Bus Range,174.918244,-36.96796,546
74,Mount Roskill Grammar School,15,15.4,129,520,702,"1,138","1,152","1,487",Auckland - Puketapapa,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,4,4,3-Lower,15,Auckland,Nearby,174.747139,-36.912708,1277
70,Marist College,7.5,7.8,134,525,706,"1,142","1,157","1,491",Auckland - Albert-Eden,Auckland Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Girls School),7,7,2-Middle,7.5,Auckland,Nearby,174.726132,-36.881938,308
80,Pakuranga College,18.4,18.8,127,518,700,"1,136","1,150","1,485",Auckland - Howick,Auckland Region,Main Urban Area,State,Secondary (Year 9-15),Co-Educational,7,7,2-Middle,18.4,Auckland,Nearby,174.90177,-36.897629,1471
377,Otago Boys' High School,"1,436","1,436","1,306",925,794,355,344,2.5,Dunedin City,Otago Region,Main Urban Area,State,Secondary (Year 9-15),Single Sex (Boys School),9,9,1-Higher,2.5,Otago,Nearby,170.495877,-45.870984,475
39,Rosmini College,12.1,12.5,141,532,714,"1,150","1,164","1,499",Auckland - Devonport-Takapuna,Auckland Region,Main Urban Area,State : Integrated,Secondary (Year 7-15),Single Sex (Boys School),9,9,1-Higher,12.1,Auckland,Nearby,174.760145,-36.792442,480
